day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
120,2025-05-01,120,weighted30_q80,weighted30,0.8,0.8673471827956998,6014.413947913035,4146.995700656047,156.91511500268814,-2996.244186817205
121,2025-05-02,121,weighted30_q80,weighted30,0.8,0.3795107956989178,5882.848335410643,19948.266255085342,272.90246374193555,6184.1294832401445
122,2025-05-03,122,weighted30_q85,weighted30,0.85,86.96346830107622,6066.310815272114,5548.676110592424,143.1806451305258,-805.1768233046726
123,2025-05-04,123,weighted30_q85,weighted30,0.85,102.50821148387105,6109.781147193134,7828.269944877378,268.2353714366787,-3870.170677519717
124,2025-05-05,124,weighted30_q85,weighted30,0.85,113.50284774193574,6183.044329876748,8705.110803904809,177.83242785095575,-391.5496747311878
125,2025-05-06,125,mean30_q90,mean30,0.9,184.5472500000005,6295.636650119289,7065.5056193163855,257.2205153009261,-4778.221660555562
126,2025-05-07,126,mean30_q90,mean30,0.9,194.20950600000035,6378.0618153842315,2986.8905245681913,127.64972743055569,-2672.58830166667
127,2025-05-08,127,mean30_q90,mean30,0.9,203.5325360000012,6273.082618345164,8096.475622402564,214.62410965740744,-1244.8725122222372
128,2025-05-09,128,mean30_q90,mean30,0.9,245.44910633333424,6404.293330340385,4111.989410413343,154.1041701828706,-2870.245633611121
129,2025-05-10,129,weighted30_q90,weighted30,0.9,336.1006128172036,6293.5826325260805,10547.12683864553,199.16821800179207,-187.83557863798438
130,2025-05-11,130,weighted30_q90,weighted30,0.9,369.1392690322574,6481.48566577009,7413.684524011318,231.31421681750282,-3586.116202401423
131,2025-05-12,131,weighted30_q90,weighted30,0.9,394.92451107526813,6519.735356744179,9745.676189649239,384.8579743018217,-7244.4078687275905
132,2025-05-13,132,weighted14_q85,weighted14,0.85,311.3701888571426,6632.7825996763095,4785.8244021840765,226.63791311970886,-5239.127309222217
133,2025-05-14,133,weighted14_q85,weighted14,0.85,311.08769309523825,6676.326395732332,5055.035321673309,238.69832610945767,-5590.47110186508
134,2025-05-15,134,weighted14_q85,weighted14,0.85,311.5958133809518,6703.302856664557,4380.218956935059,208.11122929861088,-4684.4240864841195
135,2025-05-16,135,weighted14_q85,weighted14,0.85,313.4252457142851,6619.109494323769,7906.0599035511,406.5175879431212,-9756.422110634909
136,2025-05-17,136,weighted14_q85,weighted14,0.85,299.3532365714285,6681.440065571579,9210.659968008564,235.6723862619048,-1644.0223579047579
